"p","t","y","e","d","i","expected_years_saved","expected_years_saved_L","expected_years_saved_U","infs","prob_success","benefit","ratio"
0.05,1,2.5,0.5,0.1,1e+06,0.0490037116891127,0.0490037116891127,0.980074233782253,98.75,0.05,2450.18558445563,24.8120059185381
0.05,1,2.5,0.5,0.1,5e+05,0.0490037116891127,0.0490037116891127,0.980074233782253,98.75,0.05,1225.09279222782,12.406002959269
0.05,1,2.5,0.5,0.2,1e+06,0.0490037116891127,0.0490037116891127,0.980074233782253,98.75,0.05,4900.37116891127,49.6240118370761
0.05,1,2.5,0.5,0.2,5e+05,0.0490037116891127,0.0490037116891127,0.980074233782253,98.75,0.05,2450.18558445563,24.8120059185381
0.05,1,2.5,0.5,0.3,1e+06,0.0490037116891127,0.0490037116891127,0.980074233782253,98.75,0.05,7350.5567533669,74.4360177556142
0.05,1,2.5,0.5,0.3,5e+05,0.0490037116891127,0.0490037116891127,0.980074233782253,98.75,0.05,3675.27837668345,37.2180088778071
0.05,1,2.5,0.5,0.4,1e+06,0.0490037116891127,0.0490037116891127,0.980074233782253,98.75,0.05,9800.74233782253,99.2480236741522
0.05,1,2.5,0.5,0.4,5e+05,0.0490037116891127,0.0490037116891127,0.980074233782253,98.75,0.05,4900.37116891127,49.6240118370761
0.05,1,2.5,0.5,0.5,1e+06,0.0490037116891127,0.0490037116891127,0.980074233782253,98.75,0.05,12250.9279222782,124.06002959269
0.05,1,2.5,0.5,0.5,5e+05,0.0490037116891127,0.0490037116891127,0.980074233782253,98.75,0.05,6125.46396113908,62.0300147963451
0.05,1,2.5,0.5,0.6,1e+06,0.0490037116891127,0.0490037116891127,0.980074233782253,98.75,0.05,14701.1135067338,148.872035511228
0.05,1,2.5,0.5,0.6,5e+05,0.0490037116891127,0.0490037116891127,0.980074233782253,98.75,0.05,7350.5567533669,74.4360177556142
0.05,1,2.5,0.5,0.7,1e+06,0.0490037116891127,0.0490037116891127,0.980074233782253,98.75,0.05,17151.2990911894,173.684041429766
0.05,1,2.5,0.5,0.7,5e+05,0.0490037116891127,0.0490037116891127,0.980074233782253,98.75,0.05,8575.64954559472,86.8420207148832
0.05,1,2.5,0.5,0.8,1e+06,0.0490037116891127,0.0490037116891127,0.980074233782253,98.75,0.05,19601.4846756451,198.496047348304
0.05,1,2.5,0.5,0.8,5e+05,0.0490037116891127,0.0490037116891127,0.980074233782253,98.75,0.05,9800.74233782253,99.2480236741522
0.05,1,2.5,0.5,0.9,1e+06,0.0490037116891127,0.0490037116891127,0.980074233782253,98.75,0.05,22051.6702601007,223.308053266842
0.05,1,2.5,0.5,0.9,5e+05,0.0490037116891127,0.0490037116891127,0.980074233782253,98.75,0.05,11025.8351300503,111.654026633421
0.05,1,2.5,0.7,0.1,1e+06,0.0490037116891127,0.0490037116891127,0.980074233782253,98.25,0.05,3430.25981823789,34.9135859362635
0.05,1,2.5,0.7,0.1,5e+05,0.0490037116891127,0.0490037116891127,0.980074233782253,98.25,0.05,1715.12990911894,17.4567929681317
0.05,1,2.5,0.7,0.2,1e+06,0.0490037116891127,0.0490037116891127,0.980074233782253,98.25,0.05,6860.51963647577,69.8271718725269
0.05,1,2.5,0.7,0.2,5e+05,0.0490037116891127,0.0490037116891127,0.980074233782253,98.25,0.05,3430.25981823789,34.9135859362635
0.05,1,2.5,0.7,0.3,1e+06,0.0490037116891127,0.0490037116891127,0.980074233782253,98.25,0.05,10290.7794547137,104.74075780879
0.05,1,2.5,0.7,0.3,5e+05,0.0490037116891127,0.0490037116891127,0.980074233782253,98.25,0.05,5145.38972735683,52.3703789043952
0.05,1,2.5,0.7,0.4,1e+06,0.0490037116891127,0.0490037116891127,0.980074233782253,98.25,0.05,13721.0392729515,139.654343745054
0.05,1,2.5,0.7,0.4,5e+05,0.0490037116891127,0.0490037116891127,0.980074233782253,98.25,0.05,6860.51963647577,69.8271718725269
0.05,1,2.5,0.7,0.5,1e+06,0.0490037116891127,0.0490037116891127,0.980074233782253,98.25,0.05,17151.2990911894,174.567929681317
0.05,1,2.5,0.7,0.5,5e+05,0.0490037116891127,0.0490037116891127,0.980074233782253,98.25,0.05,8575.64954559472,87.2839648406587
0.05,1,2.5,0.7,0.6,1e+06,0.0490037116891127,0.0490037116891127,0.980074233782253,98.25,0.05,20581.5589094273,209.481515617581
